member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year
Miko,697,788,1466,2155,2625,554,58
Pekora,798,653,1078,1295,4195,0,0
Gura,802,213,886,968,4259,0,0
Watame,668,430,1360,1113,2253,803,0
Koyori,1095,584,1546,2791,0,0,0
Fubuki,726,439,961,1507,1437,577,177
Ina,612,269,912,906,3072,2,0
Suisei,772,349,1164,1187,2007,0,0
Ayame,1246,95,426,1084,1874,701,0
Amelia,815,374,526,651,2370,149,0
Marine,378,563,633,810,1541,876,0
Lamy,434,302,922,903,1576,626,0
Subaru,318,139,558,1123,1610,596,0
Okayu,396,195,820,879,1379,526,0
Chloe,718,218,606,2382,0,0,0
Botan,734,286,623,591,1373,285,0
Nene,602,390,585,764,1212,319,0
Kanata,468,252,779,643,1048,563,0
Fauna,804,369,652,1468,453,0,0
Korone,167,118,466,671,1441,876,0
Kiara,683,151,359,609,1719,76,0
Flare,388,391,602,599,1090,481,0
Kaela,1556,847,1042,0,0,0,0
Mumei,303,324,643,1600,536,0,0
Lui,767,416,867,1323,0,0,0
Calli,432,227,457,718,1472,63,0
Iroha,212,174,630,2296,0,0,0
Aqua,224,158,444,521,1236,649,0
Kobo,902,490,1817,0,0,0,0
IRyS,661,178,403,785,1107,0,0
Mio,150,93,612,512,1090,668,0
Kronii,418,211,451,1288,691,0,0
Sora,497,306,419,319,1348,0,0
Polka,388,270,393,426,956,326,0
Baelz,562,230,361,1122,354,0,0
Laplus,77,73,525,1680,0,0,0
Haato,849,80,167,221,706,212,0
Towa,296,183,506,462,547,231,0
Luna,395,259,351,368,537,312,0
Noel,260,155,340,377,593,282,0
Zeta,655,254,785,0,0,0,0
Shion,62,58,229,377,650,235,73
Reine,462,161,274,193,486,0,0
Moona,462,193,324,206,349,33,0
Roboco,206,86,137,165,288,236,0
Aki,40,36,209,194,336,269,0
Matsuri,197,169,123,136,259,160,0
Risu,264,72,180,80,165,62,0
Mel,94,82,137,168,149,119,0
AZki,107,44,125,73,336,0,0
Ollie,87,48,114,118,307,0,0
Iofi,181,80,115,70,149,58,0
Choco,118,0,106,412,0,0,0
Anya,103,37,52,197,0,0,0
